         4930424 function calls (4927563 primitive calls) in 11.058 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    135/1    0.001    0.000   11.058   11.058 {built-in method builtins.exec}
        1    0.000    0.000   11.058   11.058 <string>:1(<module>)
        1    0.000    0.000   11.058   11.058 runpy.py:195(run_module)
        1    0.000    0.000   10.978   10.978 runpy.py:62(_run_code)
        1    0.080    0.080   10.978   10.978 __main__.py:24(<module>)
        1    3.643    3.643   10.260   10.260 {built-in method exec_}
       57    0.001    0.000    6.349    0.111 zmq_client.py:991(_reqAsyncHandleResponse)
       57    0.000    0.000    6.347    0.111 zmq_client.py:1240(<lambda>)
       57    0.052    0.001    6.347    0.111 zmq_client.py:831(_process)
       29    0.001    0.000    6.252    0.216 zmq_client.py:979(_reqAsyncCheckResponse)
     6865    0.109    0.000    5.838    0.001 zmq_client.py:714(decode)
    75450    0.108    0.000    5.541    0.000 zmq_client.py:260(decodeReadRep)
    82304    0.232    0.000    5.253    0.000 zmq_client.py:400(set)
192017/191754    3.614    0.000    5.145    0.000 {method 'emit' of 'PySide2.QtCore.SignalInstance' objects}
   318462    0.701    0.000    1.046    0.000 __main__.py:74(data)
    82304    0.343    0.000    0.614    0.000 zmq_client.py:277(_decode)
   636902    0.342    0.000    0.510    0.000 __main__.py:69(rowCount)
      146    0.454    0.003    0.455    0.003 socket.py:465(recv_multipart)
       60    0.001    0.000    0.351    0.006 zmq_client.py:935(req)
       13    0.000    0.000    0.300    0.023 zmq_client.py:657(add)
       13    0.000    0.000    0.268    0.021 zmq_client.py:778(_update)
        1    0.000    0.000    0.245    0.245 zmq_client.py:1558(restoreState)
        1    0.000    0.000    0.245    0.245 <string>:2(<module>)
       70    0.001    0.000    0.239    0.003 zmq_client.py:1229(stream)
       11    0.000    0.000    0.232    0.021 zmq_client.py:553(poll)
       11    0.000    0.000    0.232    0.021 zmq_client.py:1453(poll)
       11    0.000    0.000    0.232    0.021 zmq_client.py:1503(_trace)
        1    0.000    0.000    0.206    0.206 zmq_client.py:1006(_aboutToQuit)
        1    0.000    0.000    0.206    0.206 zmq_client.py:1002(_reqAsyncFlush)
   109188    0.102    0.000    0.184    0.000 zmq_client.py:47(_receive)
        1    0.160    0.160    0.166    0.166 {method 'load' of 'PySide2.QtQml.QQmlApplicationEngine' objects}
     6864    0.052    0.000    0.165    0.000 csv.py:41(write)
2157/1972    0.003    0.000    0.157    0.000 {built-in method builtins.__import__}
   955364    0.156    0.000    0.156    0.000 {method 'isValid' of 'PySide2.QtCore.QModelIndex' objects}
    182/7    0.001    0.000    0.154    0.022 <frozen importlib._bootstrap>:978(_find_and_load)
    182/7    0.000    0.000    0.154    0.022 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
    160/8    0.001    0.000    0.153    0.019 <frozen importlib._bootstrap>:663(_load_unlocked)
   263/11    0.000    0.000    0.152    0.014 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
      759    0.003    0.000    0.150    0.000 zmq_client.py:56(_emit)
        1    0.000    0.000    0.143    0.143 zmq_client.py:873(__init__)
        1    0.000    0.000    0.142    0.142 zmq_client.py:736(__init__)
    116/6    0.000    0.000    0.123    0.021 <frozen importlib._bootstrap_external>:722(exec_module)
   636924    0.102    0.000    0.102    0.000 {method 'row' of 'PySide2.QtCore.QModelIndex' objects}
2110/1978    0.007    0.000    0.088    0.000 __feature__.py:105(_import)
        2    0.000    0.000    0.081    0.040 __init__.py:24(<module>)
    75447    0.053    0.000    0.081    0.000 zmq_client.py:162(isInt)
      2/1    0.000    0.000    0.080    0.080 runpy.py:102(_get_module_details)
     6876    0.079    0.000    0.079    0.000 {method 'writerow' of '_csv.writer' objects}
       14    0.000    0.000    0.079    0.006 __init__.py:1(<module>)
   192109    0.075    0.000    0.075    0.000 zmq_client.py:159(isFixed)
     6857    0.051    0.000    0.064    0.000 zmq_client.py:268(_decodeHex)
688574/688203    0.059    0.000    0.059    0.000 {built-in method builtins.len}
  160/158    0.000    0.000    0.054    0.000 <frozen importlib._bootstrap>:576(module_from_spec)
    23/22    0.000    0.000    0.049    0.002 <frozen importlib._bootstrap_external>:1040(create_module)
    23/22    0.049    0.002    0.049    0.002 {built-in method _imp.create_dynamic}
        1    0.000    0.000    0.038    0.038 zmq_server.py:19(<module>)
     2138    0.002    0.000    0.038    0.000 re.py:271(_compile)
        1    0.000    0.000    0.037    0.037 __init__.py:2(<module>)
       13    0.000    0.000    0.037    0.003 zmq_client.py:1254(acquireAlias)
   157019    0.036    0.000    0.036    0.000 zmq_client.py:428(t)
        1    0.000    0.000    0.036    0.036 natsort.py:12(<module>)
       62    0.000    0.000    0.035    0.001 sre_compile.py:759(compile)
       13    0.000    0.000    0.035    0.003 zmq_client.py:208(shortName)
       13    0.000    0.000    0.034    0.003 zmq_client.py:1337(_setAlias)
    34291    0.023    0.000    0.033    0.000 zmq_client.py:165(isSigned)
       53    0.000    0.000    0.033    0.001 re.py:232(compile)
        1    0.000    0.000    0.033    0.033 utils.py:5(<module>)
       12    0.000    0.000    0.032    0.003 zmq_client.py:1307(_acquireAlias)
       13    0.000    0.000    0.032    0.002 zmq_client.py:684(_update)
       13    0.000    0.000    0.032    0.002 zmq_client.py:1432(assignMacro)
       11    0.000    0.000    0.032    0.003 zmq_client.py:696(run)
        1    0.000    0.000    0.032    0.032 zmq_client.py:19(<module>)
      117    0.001    0.000    0.032    0.000 <frozen importlib._bootstrap_external>:793(get_code)
      968    0.003    0.000    0.031    0.000 zmq_client.py:432(tString)
    75438    0.019    0.000    0.029    0.000 csv.py:46(<lambda>)
    91257    0.029    0.000    0.029    0.000 {built-in method builtins.isinstance}
    82315    0.025    0.000    0.025    0.000 {method 'decode' of 'bytes' objects}
      961    0.013    0.000    0.024    0.000 {method 'strftime' of 'datetime.date' objects}
       62    0.000    0.000    0.023    0.000 sre_parse.py:913(parse)
  377/236    0.000    0.000    0.022    0.000 <frozen importlib._bootstrap>:1009(_handle_fromlist)
   147/62    0.000    0.000    0.022    0.000 sre_parse.py:411(_parse_sub)
   170/66    0.009    0.000    0.022    0.000 sre_parse.py:469(_parse)
       12    0.002    0.000    0.020    0.002 zmq_client.py:1121(find)
       58    0.000    0.000    0.019    0.000 zmq_client.py:1012(time)
       17    0.000    0.000    0.019    0.001 <frozen importlib._bootstrap_external>:785(source_to_code)
       17    0.019    0.001    0.019    0.001 {built-in method builtins.compile}
       11    0.000    0.000    0.018    0.002 zmq_client.py:590(_pollFast)
       11    0.000    0.000    0.018    0.002 zmq_client.py:597(_pollSetFlag)
     6854    0.006    0.000    0.015    0.000 zmq_client.py:1078(timestampToTime)
       91    0.001    0.000    0.014    0.000 __main__.py:43(lessThan)
        1    0.000    0.000    0.014    0.014 __init__.py:7(_load_libzmq)
    13833    0.014    0.000    0.014    0.000 {method 'split' of 'bytes' objects}
        1    0.000    0.000    0.014    0.014 __init__.py:36(_setupQtDirectories)
       91    0.000    0.000    0.013    0.000 natsort.py:189(natsorted)
     6865    0.013    0.000    0.013    0.000 zmq_client.py:716(<listcomp>)
      103    0.000    0.000    0.012    0.000 {built-in method builtins.sorted}
       62    0.000    0.000    0.012    0.000 sre_compile.py:598(_code)
      182    0.001    0.000    0.012    0.000 utils.py:262(_natsort_key)
      178    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap>:882(_find_spec)
        1    0.000    0.000    0.011    0.011 platform.py:10(<module>)
    13715    0.011    0.000    0.011    0.000 {built-in method _struct.unpack}
    13721    0.011    0.000    0.011    0.000 {built-in method _struct.pack}
       11    0.000    0.000    0.010    0.001 __main__.py:63(<lambda>)
       11    0.000    0.000    0.010    0.001 __main__.py:65(_pollingChanged)
   336/62    0.001    0.000    0.010    0.000 sre_compile.py:71(_compile)
    75438    0.010    0.000    0.010    0.000 csv.py:38(<lambda>)
      157    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1272(find_spec)
       14    0.000    0.000    0.010    0.001 zmq_client.py:1109(_list_init)
     6854    0.010    0.000    0.010    0.000 zmq_client.py:1064(<lambda>)
      157    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
    41142    0.009    0.000    0.009    0.000 {method 'append' of 'bytearray' objects}
      182    0.000    0.000    0.009    0.000 utils.py:152(_number_extracter)
      305    0.002    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
        1    0.000    0.000    0.008    0.008 select.py:25(select_backend)
    13726    0.007    0.000    0.007    0.000 {built-in method math.isnan}
       12    0.000    0.000    0.007    0.001 csv.py:32(restart)
        2    0.000    0.000    0.007    0.003 {_init_pyside_extension}
        1    0.000    0.000    0.007    0.007 (builtin):65(bootstrap)
     6857    0.007    0.000    0.007    0.000 {method 'partition' of 'bytearray' objects}
       11    0.000    0.000    0.007    0.001 csv.py:18(add)
  303/300    0.004    0.000    0.007    0.000 {built-in method builtins.__build_class__}
        3    0.000    0.000    0.007    0.002 zmq_client.py:1096(capabilities)
      137    0.005    0.000    0.007    0.000 sre_compile.py:276(_optimize_charset)
        2    0.001    0.000    0.007    0.003 {method 'sort' of 'PySide2.QtCore.QSortFilterProxyModel' objects}
      117    0.006    0.000    0.006    0.000 socket.py:357(send)
      100    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
        1    0.000    0.000    0.006    0.006 __init__.py:10(<module>)
      100    0.006    0.000    0.006    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.006    0.006 zmq_client.py:229(read)
        1    0.000    0.000    0.006    0.006 zmq_client.py:252(_read)
      182    0.000    0.000    0.006    0.000 utils.py:164(<listcomp>)
        1    0.000    0.000    0.006    0.006 loader.py:43(<module>)
      279    0.000    0.000    0.006    0.000 locale_help.py:43(locale_convert)
    12332    0.003    0.000    0.006    0.000 sre_parse.py:254(get)
      114    0.001    0.000    0.006    0.000 zmq_client.py:971(_reqAsyncSendNext)
       14    0.005    0.000    0.005    0.000 {built-in method io.open}
        1    0.000    0.000    0.005    0.005 subprocess.py:42(<module>)
       57    0.000    0.000    0.005    0.000 zmq_client.py:950(reqAsync)
        2    0.000    0.000    0.005    0.003 zmq_client.py:1188(identification)
        1    0.000    0.000    0.005    0.005 client.py:3(<module>)
    23/22    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1048(exec_module)
    23/22    0.000    0.000    0.005    0.000 {built-in method _imp.exec_dynamic}
      990    0.000    0.000    0.004    0.000 re.py:175(fullmatch)
     6934    0.004    0.000    0.004    0.000 {built-in method time.time}
       14    0.000    0.000    0.004    0.000 zmq_client.py:784(_updateTracing)
     6857    0.004    0.000    0.004    0.000 {method 'decode' of 'bytearray' objects}
        1    0.000    0.000    0.004    0.004 context.py:2(<module>)
        1    0.000    0.000    0.003    0.003 socket.py:2(<module>)
    12624    0.003    0.000    0.003    0.000 sre_parse.py:233(__next)
     2141    0.001    0.000    0.003    0.000 {method 'join' of 'str' objects}
